Abbreviation,Title,Holdings
AcP,Archiv für die civilistische Praxis,35
Arbeitsschutz,Arbeitsschutz,31
Archiv des öffentlichen Rechts,Archiv des öffentlichen Rechts,42
ARSP,Archiv für Rechts- und Sozialphilosophie,44
BB,Betriebs-Berater,61
BBaubl,Bundesbaublatt,32
Das Parlament,Das Parlament,39
Der Landkreis,Der Landkreis,30
Der Städtetag,Der Städtetag,38
DStZ,Deutsche Steuer-Zeitung,31
DVBL,Deutsches Verwaltungsblatt,55
DÖD,Der Öffentliche Dienst,29
EUR,Europarecht,39
Forensische psychiatrie,"Forensische psychiatrie, psychologie, kriminologie",36
Gewissen und Freiheit,Gewissen und Freiheit,29
GRUR,Gewerblicher Rechtsschutz und Urheberrecht,34
GRUR,"Gewerblicher Rechtsschutz und Urheberrecht, Internationaler Teil : GRUR Int. : mit Inhalten des Journal of intellectual property law practise / Max-Planck-Institut für Innovation und Wettbewerb",28
IT-Guide,Der Betrieb,58
JA,Juristische Arbeitsblätter,36
Jahrbuch des öffentlichen Rechts der Gegenwart,Jahrbuch des öffentlichen Rechts der Gegenwart,39
JR,Juristische Rundschau,28
Jus,Juristische Schulung,55
KJ,Kritische Justiz,29
KJB,Karlsruher juristische Bibliographie,33
Kriminologisches Journal,Kriminologisches Journal,28
MdR,Monatsschrift für deutsches Recht,40
NJW,Neue juristische Wochenschrift,78
Osteuropa,"Osteuropa, Osteuropa-Recht",33
RdA,Recht der Arbeit,38
RdW,"Das Recht der Wirtschaft, Schriftenreihe Das Recht der Wirtschaft",37
RIW,Recht der internationalen Wirtschaft,36
Schmollers Jahrbuch für Gesetzgebung,"Schmollers Jahrbuch für Gesetzgebung, Verwaltung und Volkswirtschaft",38
Steuer + Studium,Steuer + Studium,38
StuW,Steuer und Wirtschaft,33
UR,UmsatzsteuerRundschau,33
Vereinte Nationen,Vereinte Nationen,30
Verfassung und Verfassungswirklichkeit,Verfassung und Verfassungswirklichkeit,30
Verfassungsschutzbericht,Verfassungsschutzbericht,39
VerwArch,Verwaltungsarchiv,47
Wirtschaftsprüfer-Handbuch,Wirtschaftsprüfer-Handbuch,28
WISTA,Wirtschaft und Statistik,50
WPg,WPg,44
WuW,Wirtschaft und Wettbewerb,34
Zeitschrift für die gesamte Versicherungswissenschaft,Zeitschrift für die gesamte Versicherungswissenschaft,31
Zentralblatt für die gesamte Unterrichtsverwaltung in Preußen,Zentralblatt für die gesamte Unterrichtsverwaltung in Preußen,28
ZfJ,Zentralblatt für Jugendrecht,28
ZfSH/SGB,Zeitschrift für Sozialhilfe und Sozialgesetzbuch,28
ZHR,Zeitschrift für das gesamte Handelsrecht und Wirtschaftsrecht,29
ZIP,ZIP,36
ZRG GA,"Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Germanistische Abteilung",32
ZRG KA,"Zeitschrift der Savigny-Stiftung für Rechtsgeschichte, Kanonistische Abteilung",33
ZSR,Zeitschrift für Sozialreform,33
